aba	obo
aba aba	obo-obo
abad	abad
abad	satus taun
abadi	kekal
abadi	langeng
abadi	langgeng
abang	kakang
abang	mas
abangnya	kakange
abangnya	mase
abdi	abdi
abdi	ngarso
abi	romo
abis	entek
abses	bisul
abses	borok
absolut	mutlak
abstrak	abstrak
abstrak	rajelas
abu	awu
abu-abu	abu-abu
abu-abu	awu-awu
abuan	awunen
acar	acar
acara	acara
acara	gawe
acara	kenduri
acuan	cekelan
ada	eneng
ada	ono
adab	toto kromo
adakan	enekke
adanya	enenge
adapula	enenge 
adapun	enengepun
adat	adat
adat	tradisi
adatnya	adate
adegan	babak
adegan	lelakon
adik	adhi
adik	adi
adik	bocah
adik	cah
adiknya	adine
adil	adil
administrasi	administrasi
adopsi	adopsi
adu	adu
aduk	udak
aduk	udek
agak	rodo
agama	agomo
agama	kapercayan
agamanya	agamane
agar	supoyo
agen	bandar
agenda	agenda
agenda	jadwal
agensi	agensi
ahad	minggu
ahli	pakar
air	banyu
air	tirta
air	toya
airku	banyuku
airnya	banyune
ajaran	esthi
ajaran	lelaku
ajarannya	ajarane
akad	akad
akademisnya	akademise
akal	utek
akalnya	uteke
akan	arep
akar	oyot
akbar	gede
akhir	entek-entekan
akhir	pungkasan
akhirnya	akhire
akhlak	akhlak
akibat	akibat
akibatnya	akibate
akrab	akrab
aksen	logat
aksen	pangucapan
akses	akses
aksi	tumindak
aktif	bergas
aktris	lakon
aktris	seniman
aku	kulo
akun	akun
akuntan	akuntan
akur	akrab
akurat	titis
alam	jagat
alamat	alamat
alamat	nggon
alamat	panggonan
alamnya	alame
alarm	jam weker
alarm	weker
alas	lemek
alas	taplak
alasan	alesan
alasannya	alesane
alat	perkakas
alatnya	alate
alergi	alergi
aliansi	aliansi
alias	alias
alien	alien
alkohol	arak
alkohol	bir
alkohol	ciu
allah	gusti allah
almarhum	mendiang
almarhum	seda
altar	altar
alternatif	alternatif
alur	dalan
amal	amal
amalan	amalan
aman	aman
amarah	nesu
amat	banget
amatir	amatir
amatir	durung pakar
ambil	jukok
ambisi	ambisi
ambulan	ambulans
ambulans	ambulan
amis	ames
amplop	amplop
ampun	ngapura
ampun	nuwun sewu
ampun	sepurane
anak	arek
anak	bocah
anak	putra
anakan	anak an
anakku	putraku
anaknya	bocahe
analis	analis
analisa	analisa
analisis	mirsani
analisis	ngawasi
and	lan
andalan	andalan
aneh	aneh
angan	karep
angel	susah
anggap	anggep
anggapan	anggepan
anggaran	anggaran
anggota	anggota
anggota	bolo 
anggotanya	bolone
anggun	ayu
angin	angin
angin	bayu
angka	nomer
angka	ongko
angkat	junjung
angkatan	angkatan
anjing	asu
anjing	kirek
anjing	kirik
anjungan	paviliun
antaranya	antarane
antena	antena
antibiotik	antibiotik
antik	antik
anting	suweng
antrian	antrian
anugerah	anugrah
apa	dalem
apa	opo
apabila	yen
apakah	opo iyo
apapun	napa mawon
apapun	sak-sake
apartemen	apartemen
apel	apel
api	agni
api	geni
apian	genian
apit	gepit
aplikasi	aplikasi
aplikasi	fitur
april	april
aqidah	aqidah
arah	arah
arahan	arahan 
arahan	panuntun
arahan	pitunjuk
arahan	tuturan
arang	areng
areal	ancak
argumen	argumen
arloji	jam tangan
aroma	ambu
arsip	berkas
arsitek	arsitek
arsitekturnya	arsitekture
artikel	babad
artikel	carita
artikel	wacanan
artikelnya	wacanane
artinya	artine
arwah	roh
asahan	pasahan
asal	mulo
asalnya	mulane
asam	asem
asap	asep
asap	beluk
asap	kebul
asin	asin
asing	asing
asisten	asisten
asli	asli
aslinya	asline
asma	jeneng
asmara	asmoro
asosiasi	asosiasi
aspirin	aspirin
astronot	astronot
asumsi	awang-awang
asumsi	prakiraan
asuransi	asuransi
atap	atep
atap	gentheng
atapnya	atepe
atas	nduwur
atasi	atasi
atasnya	nduwure
ati	ati
atlet	atlet
atmosfer	atmosfer
atur	atur
audisi	lomba
awak	awak
awak	kulo
awal	mulo
awal	wiwit
awalnya	mulo-mulo
awan	awan
awas	ngalih
awasi	ndelok'i
ayah	bapak
ayah	romo
ayahmu	bapakmu
ayahnya	romone
ayam	pitek
ayam	pitik
ayo	ayo
ayolah	ayolah
ayunan	bandhulan
babi	babi
babi	celeng
baca	mboco
baca	woco
bacaan	woconan
bacakan	woconen
badai	topan
badak	badak
badan	awak
badannya	awake
bagai	koyo
bagaimana	kepiye
bagaimana	piye
bagaimana	pripun
bagaimanapun	piyewae
bagi	mbagi
bagian	bagean
bagus	apik
bahagia	bungah
bahagia	seneng
bahan	bahan
bahannya	bahane
bahasa	basa
bahasa	boso
bahasanya	bosone
bahaya	marabaya
baik	apik
baiknya	apike
baja	baja
bajingan	kampret
baju	ageman
baju	klambi
baju	sandhangan
bajunya	klambine
bakal	bakal
bakar	obong
bakat	bakat
bakatnya	bakate
baki	beki
bakmi	bakmi
bakpao	bakpao
bakso	pentol
bakteri	bakteri
bakti	bekti
baku	baku
bakunya	bakune
bakwan	bakwan
balai	bale
balap	ngebut
balapan	balapan
balas	wales
balasan	walesan
balet	balet
balik	bali
balik	muleh
balkon	teras
balut	buntel
bambu	pring
ban	ban
band	band
bandara	bandara
banding	bandhing
bandit	bandhit
bandit	bangsat
bang	kang
bang	mas
bangkai	bangke
bangkai	batang
bangkai	bathang
bangkit	tangi
bangku	bangku
bangku	korsi
bangsa	bangsa
bangsa	bongso
bangsal	pendhapa
bangsanya	bangsane
bangun	tangi
bangunan	omah
bangunan	umah
bangunlah	tangilah
bangunnya	tangine
banjir	banjir
bank	bank
bantal	bantal
banting	banting
bantu	ewang
bantu	ewangi
bantu	tulung
bantuan	sambatan
banyak	akeh
banyak	mblerah
banyaknya	akehe
banyaknya	mblerahe
bapa	wong tuwo
bapak	bapa
bapak	rama
bapak	romo
bapaknya	bapake
bapaknya	romone
bar	panggon ngombe
bara	geni
barang	benda
barang	pekakas
barat	kulon
baring	nggletak
baris	baris
bartender	bartender
baru	anyar
barulah	anyarlah
barunya	anyare
basah	teles
basi	lawas
basi	mambu
basi	sayop
basuh	elap
basuh	wisuh
bata	boto
batang	gagang
batang	pang
batangan	gagangan
batangnya	gagange
batas	bates
batas	wates
batas	watesan
batasan	watesan
batasnya	watese
baterai	batu
batin	batin
batu	krikil
batu	watu
batuk	watuk
bau	ambu
bau	mambu
baunya	ambune
bawa	nggowo
bawaan	gawanane
bawah	ngisor
bawahan	ngisoran
bawahnya	ngisorane
bawang	brambang
bayam	bayem
bayangan	wewayangan
bayar	bayar
bayaran	bayaran
bayi	bayek
bayi	cah cilik
beasiswa	beasiswa
beban	beban
beban	sanggan
bebas	bebas
bebatuan	wewaton
beberapa	sakpiro
becak	becak
beda	bedo
bedanya	bedone
begini	ngene
begitu	ngono
begitulah	ngonolah
begitupun	ngono
bekas	bekas
bekas	tilak
bekerja	makaryo
bel	bel
bela	belo
belahan	belahan
belajar	sinau
belakang	mburi
belakangan	mburian
belakangnya	mburine
belalang	walang
belanda	londo
belati	glathi
belati	lading
beli	tuku
beli	tumbas
beliau	njenengan
beliau	sampeyan
belok	menggok
belum	dereng
belum	durung
benang	benang
benang	bolah
benar	tenan
benarkah	tenane
bencana	bilahi
bencana	pacoban
bencana	pageblug
bencana	pagebluk
benci	serik
bendera	gendero
benderanya	benderane
benderanya	genderone
bendungan	bendungan
bendungan	waduk
bengkak	aboh
bengkel	bengkel
benih	bibit
benih	wenih
benih	wiji
benih	winih
bensin	bensin
benteng	banteng
bentuk	rupo
bentuk	wujud
bentuknya	bentuke
bentuknya	rupone
benturan	tubrukan
benua	bawana
benua	buwana
berada	eneng
berada	nduwe
berair	mbanyu
berakal	ngutek
berakhir	entek
beralih	ngalih
beranak	manak
berangkat	mangkat
berani	wani
beranjak	ngalih
berapa	pira
berapa	piro
berapi	murup
beraroma	mambu
beras	beras
berasa	keroso
berasal	seko
berat	abot
beratap	atepan
beratnya	abote
beratus	atusan
berawal	seko
berawan	awanen
berbadan	berawak
berbagi	mbagi
berbahasa	boso
berbakat	mbakat
berbalik	mbalek
berbalik	mbalik
berbatasan	watesan
berbeda	bedo
berbedak	pupuran
berbentuk	mbentuk
berbicara	ngomong
berbicara	wicara
berbintang	lintangen
berbohong	ndopok
berbohong	ngapusi
berbuah	uwoh
berbuat	nglakoni
berbunga	ngembang
berbunyi	muni
berburu	mburu
bercabang	nyabang
bercahaya	nylorot
bercampur	nyampur
bercanda	guyon
bercerai	pegatan
bercerita	cerito
berdagang	dodolan
berdarah	getihan
berdekatan	cedek
berdendang	nembang
berdesakan	umpel-umpelan
berdiam	meneng
berdiri	ngadek
berdirinya	ngadeke
berdoa	dungo
berdua	wong loro
berenang	ngelangi
berfikir	mikir
bergantian	gentenan
bergantung	nggandul
bergaris	nggaris
bergaya	macak
bergelombang	nggelombang
bergelut	nggeluti
bergotong	sambatan
berguna	kanggo
bergurau	guyon
berhadapan	ngarep-ngarepan
berharap	ngarep
berhasil	berhasil
berhenti	mandek
berikan	ngewehi
berikutnya	bar e
beringin	ringin
berisi	berisi
berita	kabar
berita	maklumat
berita	warta
berjalan	mlaku
berjarak	njarak
berjauhan	adohan
berjaya	joyo
berjualan	dodolan
berkabar	ngabari
berkah	berkah
berkas	berkas
berkawan	kancan
berkawan	koncoan
berkeinginan	kekarepan
berkelahi	gelut
berkeluarga	mbojo
berkeluarga	omah-omah
berkerumun	ngumpul
berketurunan	manak
berkisar	kiro-kiro
berkolaborasi	bebarengan
berkomunikasi	ngabari
berkunjung	nekani
berkurang	kelong
berlalu	kelewatan
berlanjut	keterusan
berlari	mlayu
berlian	cemerlang
berlima	wong limo
berlubang	bolong
bermain	dolanan
bermalam	mlanjar
bermalam	nginep
bermukim	manggon
bernafas	ambekan
bernyanyi	nembang
berpakaian	klamben
berpikir	mikir
berpindah	ngalih
berpisah	pegat
bersahabat	kancan
bersama	bareng
bersama	bebarengan
bersamanya	bareng ndek'e
bersaudara	sedulur
bersembunyi	ndelik
bersih	resik
bersila	silo
bersin	wahing
bersinar	nylorot
bersisik	sisiken
bersua	pethuk
bersuami	nduwe bojo
bertahan	bertahan
bertambah	mundak
bertambahnya	mundake
bertanda	pertondo
bertani	tani
bertanya	takon
bertarung	gelut
bertatapan	delok-delokan
bertelur	ngendok
bertemu	pethuk
bertengkar	gadoh
bertepatan	ngepasi
berteriak	mbengok
berterima	nompo
bertiga	wong telu
bertumbuh	mundak
bertumpuk	numpok
bertutur	ngomong
beruang	beruang
berubah	maleh
berumur	sepuh
beruntung	beja
beruntung	bejo
berupaya	ngusahakno
berusia	sepuh
berwarna	warnanan
besar	gedi
besarnya	gedine
beserta	tunggale
besi	wesi
besok	sesok
betina	wadon
betina	wedok
beton	beton
betul	tenan
bhakti	bekti
biar	ben
biara	pecinan
biarawan	biarawan
biarawati	biarawati
biarkan	bene
biarkan	jarke
biarkan	jarne
biasa	biasa
biasa	bioso
biasanya	biosone
biaya	biaya
bicara	ngomong
bidadari	widodari
bidang	bagian
biji	isi
biji	wiji
biksu	biksu
bilangan	ongko
bilik	kamar
bilik	senthong
binatang	kewan
bingung	bingung
bintang	lintang
bintik	bintik
biola	biola
biologi	biologi
bir	ber
bir	bir
bir	ciu
biru	biru
bisa	iso
bisakah	iso ora
biskuit	biskuit
bisnis	kerja
bisnis	manjing
bisnis	nyambut gawe
bisu	bisu
bius	mbius
bocah	arek
bocah	bocah
bocah	lare
bodi	awak
bodoh	goblok
bohong	ndopok
bola	bal
bolanya	bale
boleh	entuk
boleh	oleh
bom	bom
bon	bon
boneka	boneka
boneka	golek
borgol	gembok
bos	bos
botol	botol
bpk	romo
buah	uwoh
buah	woh
buahnya	uwohe
buang	guwak
buang	guwang
buat	gawe
buatan	gawean
buaya	boyo
bubuk	serbuk
budaya	budoyo
budayanya	budoyone
buddha	budho
budha	budha
budha	budho
buih	umpluk
bujang	lajang
bujangan	bujangan
bujangan	lajang
buka	bukak
bukan	ora
bukan	uduk
bukti	bukti
buku	buku
bulan	rembulan
bulan	wulan
bulanan	wulanan
bulannya	wulane
bulat	bunder
bulu	wulu
bulunya	wulune
bumbunya	bumbune
bumi	bumi
bumiputera	bumi putro
bunda	biyung
bunda	ibuk
bunda	mak'e
bung	bung
bunga	kembang
bunga	sekar
bunganya	kembange
bungkuk	wungkuk
bungkus	bungkus
bungsu	ragil
buntu	mampet
bunuh	pateni
bunyi	muni
bunyi	swara
buruh	buroh
buruh	pegawe
buruk	elek
burung	manuk
bus	bis
busa	unthok
busana	klambi
busur	busur
buta	buta
buta	picek
butuh	kudu
cabai	lombok
cabe	lombok
cacar	cangkrang
cacing	cacing
cahaya	cahya
cahaya	sunar
cair	encer
cakar	cakar
cakar	ceker
