hijab	kudung
mengukur	ngukor
lingkungan	panggonan
tenanglah	tenangno
beringin	ringin
masuklah	mlebu lah
menolong	nulong
kartun	kartun
serius	tenanan
mencari	goleki
pintar	pinter
peraturan	peraturan
selatan	kidul
kesembilan	ke songo
sepasang	sak pasang
nasi	sego
mengukir	ngukir
melarat	sengsoro
pencuri	"	duratmaka"
memperbagus	ngapii
makanan	wejangan
dialog	dialog
rindang	rimbun
pipa	pipo
kecepatan	kebanteran
perintah	titah
kinerja	kerja
ukirannya	ukirane
selamat	sugeng
bertarung	gelut
bersahabat	kancan
gosong	geseng
rokok	udut
disinggahi	di ampiri
kemana	nandi
mengenang	ngenang
bantu	tulung
setara	podo
lebar	ombo
mencabut	mbubut
reporter	reporter
kepadanya	kanggone
becak	becak
harus	kudu
parfum	parfum
jarum	dom
rekomendasi	saran
mendirikan	ngedekke
berhasil	berhasil
manusia	wong
pabrik	pabrik
pekerja	pekerjo
melihatmu	ndeleng
penyelamat	penyugeng
meningkatkan	mundakne
menyalurkan	nyalurke
bakpao	bakpao
masing	dewe
waspada	waspodo
jantung	jantung
mesin	mesin
golongan	tunggalan
rumit	ruwet
dunia	donya
kanselir	kanselir
jaya	joyo
tersinggung	kesinggung
barunya	anyare
lulusan	lulusan
jelas	jelas
bertatapan	delok-delokan
biskuit	biskuit
kesenangan	kebungahan
kepuasan	kepuasan
kacangan	kacangan
tidur	turu
bernyanyi	nembang
mengantar	ngeter
sanalah	konolah
mulanya	mulone
letak	deleh
gaji	bayaran
abdi	ngarso
dengar	krungu
koroner	koroner
tarik	tarek
terpikat	kesemsem
dapur	pawon
privasi	rahasia
jembar	ombo
ltu	iku
jendela	jendelo
roh	nyowo
syaitan	setan
bank	bank
buruh	pegawe
adik	bocah
cek	cek
murid	siswo
meninggalkan	ninggalno
membantu	ngewangi
cedera	cidro
tungku	tungku
menit	menit
mundurnya	mundure
kehancuran	kajuren
gerakan	obahan
terbunuh	di pateni
sepulang	sakbali
kekeringan	asat
secepatnya	gek ndang
nasib	takdir
pembela	pembela
busur	busur
mama	ibuk
senyuman	eseman
peta	peta
tuduh	tuduh
mengerti	ngerti
opsir	opsir
bodi	awak
putera	putro
laut	segoro
kali	kaping
gemuk	lemu
paduan	paduan
siapkan	siapke
puncaknya	puncak'e
gamelan	gamelan
tua	sepuh
melayani	nglayani
kenalan	kenalan
didatangi	di tekani
tabrakan	tubrukan
dapat	intok
kini	sakmenika
dibolehkan	di olehno
tidur	tilem
sinyal	sinyal
teror	serangan
pedas	pedes
proyek	garapan
terkenal	pamor
hakim	hakim
misalnya	misale
tertingginya	paling duwure
tanpa	tanpa
muka	rai
adat	adat
sewa	sewo
potongan	tugelan
cabe	lombok
jurang	gumping
baja	baja
menjualkan	ngedolke
menelepon	ngebel
mengambil	njikok
pasir	lemah
tidur	sare
tuntutan	tuntutan
lemparan	balang
anjing	kirek
piramida	piramida
mengatur	ngatur
mengiringi	ngiringi
tuduhan	dugaan
pribadi	pribadi
permisi	nuwun
pengeluaran	pengeluaran
mengecil	nyilik
audisi	lomba
tulisannya	tulisane
singgah	mampir
naluri	insting
aplikasi	fitur
membelah	mbeleh
memperluas	njembarke
kemajuan	kemajon
tigabelas	telulas
kelapa	kambil
tubuhnya	awake
rujukan	rujukan
perjalanan	tindak
menatap	nyawang
masa	moso
tulis	nulis
arah	arah
tembang	nyayian
punjung	ngenehi
martabat	kamulyan
berjalan	mlaku
padang	padang
kunyit	kunir
hiu	hiu
allah	gusti allah
garpu	gerpu
pertamanya	ndisiki
awalnya	mulo-mulo
power	power
kebodohan	kebodonan
tinggalkan	tinggalke
pulut	ketan
mata	mripat
situ	kono
menamai	njenengi
optimis	optimis
keringkan	garingke
terpakai	kanggo
harta	banda
pangkat	pangkat
ditebang	di tumbang
anjungan	paviliun
pisang	gedhang
memanggil	ngundang
wong	menungso
haram	haram
boleh	oleh
bata	boto
untuk	nggo
warga	warga
udaranya	hawane
lipat	lempet
kereta	kereto
jawab	jawab
abses	bisul
sapi	sapi 
suntikan	suntikan
menunjuk	ndudingi
jepit	cepit
analisis	mirsani
jaga	jogo
siput	kecot
takkan	ora bakal
denda	dendha
laut	segara
sampai	tekan
bisnis	kerja
patung	patung
setiap	mben
atasi	atasi
sebagai	gawe
rekaman	rekaman
cambuk	pecut
pulang	kundur
umurnya	umure
bakatnya	bakate
lemparan	uncalan
kabur	minggat
penyelundup	penyelundup
dibuatkan	di gawekne
atlet	atlet
kandang	kandhang
merilis	ngerilis
gadai	gade
dinikahi	di bojo
penokohan	lakon
sihir	aji-aji
alas	taplak
kalori	kalori
penyerangan	penyerangan
menyaksikan	nyeksekke
menurunkan	ngedunke
sialan	sialan
memelihara	ngingu
ginjal	ginjal
seratus	satus
mengerikan	nggilani
alur	dalan
abis	entek
kehormatan	kebektosan
jauh	adoh
april	april
lebat	lebet
pemadam	pemadam
menyambut	nyambut
keranjang	keranjang
jalan	dalan
rabu	rebo
pinjaman	jilihan
menara	menara
tampak	ketok
batang	gagang
buruh	buroh
kertas	dluwang
terakhir	wekasan
ketua	pangarsa
mengatasi	ngatasi
meminang	ngelamar
bantuan	sambatan
kanannya	tengene
mainnya	dolanane
masuknya	mlebune
mengabdi	ngabdi
kelapa	degan
khususnya	kususe
cincin	ali - ali
perimeter	ukuran
tepung	tepung
membicarakan	ngomongke
akun	akun
dinaikkan	di unggahno
publisitas	ngumumne
anakan	anak an
demam	nggregesi
lautan	segoro
berpisah	pegat
berkeinginan	kekarepan
ketimbang	ketimbang
tertua	sesepuh
asumsi	awang-awang
utuh	utuh
disamping	nang sisih
penjaga	sing njaga
mengisi	ngisi
suntik	suntek
perampokan	prampogan
pujian	lem
pos	pos
sewaktu	sewayah
sayangnya	tresnone
teori	teori
semak	semak
kakek	eyang kakung
sebulan	sewulan
stadion	lapangan
populasi	populasi
tambang	tambang
gelanggang	gelonggong
kendali	kendhali
piring	piring
angin	bayu
mandi	adus
kesimpulan	kesimpulan
berbadan	berawak
memudahkan	nggampangno
kakeknya	mbah kakunge
senyawa	senyawa
telor	telor
suka	seneng
benang	benang
mahasiswa	mahasiswa
seorang	sak uwong
kapak	kapak
keperluan	kebutuhan
terakhir	keri
pertama	pertama
ombak	ombak
belakangan	mburian
vampir	drakula
merubah	ngerubah
selepas	sak bare
tipe	model
dipercaya	di percoyo
setebal	sekandel
menderita	sengsoro
mempercayai	percoyo
ternama	kondang
miliar	miliar
tragedi	tragedi
berhenti	mandek
pasar	pasar
belum	dereng
ciuman	ambungan
sisinya	sandinge
kutu	tumo
utusan	caraka
truk	trek
anjing	asu
secukupnya	sak cukupe
terpisah	kepisah
sandaran	lendetan
memberinya	ngekei
hak	hak
formula	resep
sebab	sebab
total	sedoyo
diare	mencret
catur	sekak
rangkap	gandeng
berbohong	ndopok
dibeli	di tuku
formasi	formasi
nyata	nyoto
usul	usul
pasien	pasen
lontong	lontong
taman	konco
tanggal	tanggal
padi	pari
utamanya	utomone
navigasi	navigasi
sana	kono
dicari	di golek
tembaga	tembogo
star	lintang
perhitungan	itung-itungan
namanya	jenenge
koktail	ciu
bicara	ngomong
kencang	banter
segar	ayem
titi	titi
simpan	simpen
bisnis	nyambut gawe
cerita	cariyos
rakit	gethek
rapat	rapet
pendatang	pendatang
katakan	omongno
magang	magang
tamparan	kaplokan
gunting	ke'tokan
lobi	lobi
cucu	putu
nyawa	nyowo
sepeda	onthel
meskipun	masio
bedanya	bedone
caranya	corone
alam	jagat
pulau	pulau
pemeran	pelakon
terendam	kelelep
mengoperasikan	nggunakke
sikat	kosokan
ibu	mamak
berkunjung	nekani
giliran	wayahe
ternak	ingon
kacamata	kacamata
aktris	lakon
jin	jin
menewaskan	mateni
bapak	rama
legenda	legendha
pelacur	lonthe
biarawati	biarawati
memasukkan	nglebokke
napas	ambekan
pemain	sing main
terkaya	tersugeh
mulai	wiwit
sebotol	sak botol
tawa	ngguyu
terkemuka	kondang
lelang	lelang
gitar	gitar
bawahnya	ngisorane
besi	wesi
tumbuh	pokok
atap	atep
vagina	itel
genggam	genggem
kiriman	kiriman
ukurannya	ukurane
tulang	balung
tebu	tebu
menempelkan	nempelke
berbakat	mbakat
kasir	kasir
cerutu	lintingan
memakainya	nganggo
orbit	orbit
ratu	ratu
ingat	eling
lepaskan	uculke
tuanya	tuone
guntur	beldek
bensin	bensin
halusnya	aluse
upacara	upocoro
serat	serat
rujuk	rujuk
menurun	ndronjong
tamu	tamu
kesulitan	kangelan
punah	musno
inginkan	karepane
dekatnya	cedek'e
piatu	piatu
lapang	jembar
terbalik	kebalik
kejaksaan	kejaksaan
atapnya	atepe
uap	umup
disini	nang kene
pecundang	pengecut
keempat	ke papat
memandang	ndelok
beli	tuku
menanti	nunggoni
lipstik	gincu
semut	semut
bubuk	serbuk
risiko	resiko
karena	amergo
konsultan	konsultan
bujang	lajang
temui	pethuk'i
satu	siji
merebut	ngrebut
buang	guwang
adik	adhi
bangkit	tangi
kerjanya	kerjone
perawan	prawan
melihat	ndelok
merica	mrico
anugerah	anugrah
mending	mending
badannya	awake
menimpa	nimpo
modal	modal
bersih	resik
pendingin	kulkas
bawa	nggowo
pulut	getah
domba	domba
tengahnya	tengahe
dimintai	di jaluk'i
mengumumkan	ngumumke
bawang	brambang
terputus	keputus
proposal	proposal
ungkap	ngungkap
tergolong	termasok
sandi	sandi
kirinya	kiwone
terbagi	kebagi
sesorang	uwong
ukur	ukor
lorong	lorong
lembar	lembar
luput	lali
membantah	mbantah
deras	deres
perselisihan	pertengkaran
terjun	nyemplung
isteri	bojo
dewa	dewo
pengatur	seng ngatur
hampir	meh
membasuh	ngelapi
tadi	mau
turunnya	medune
misal	misale
hidup	urip
malam	wengi
pemain	lakon
menguji	nguji
pulang	wangsul
hangat	anget
penggemar	padhemen
sempit	sempit
melatih	ngelatih
kenapa	kenopo
cirinya	cirine
wajib	kudu
seharusnya	semestine
dibeli	di tumbas
kartu	kertos
adik	adi
riset	riset
aliansi	aliansi
tujuannya	tujuane
tiket	tiket
mengembangkan	ngembangke
hitungan	wicalan
memundurkan	ngundurke
sepertinya	koyone
melamar	ngelamar
mendidih	umup
abadi	kekal
sambil	nyambi
kelahiran	kelairan
gadis	perawan
memutus	mutus
ransel	tas
diluar	nang njobo
mencoba	jajal
tingkat	inggil
pekerjaan	kerjanan
santai	santai
memperjuangkan	memperjuangke
mangkuk	mangkok
ramadan	romadon
keberatan	kaboten
bungsu	ragil
ditanam	di tandur
noda	noda
bir	bir
balik	bali
ketertarikan	daya tarik
kartu	remi
diambil	dijupok
naskah	naskah
tangannya	tangane
wujud	rupo
mekanisme	mekanisme
waktunya	mosone
porno	porno
adik	cah
terjaga	melek
sepatu	sepatu
makanan	panganan
lunak	empuk
tumpul	bujel
ujung	mentok
kehamilan	meteng
memuaskan	muaske
santa	santa
pengawasan	pengawasan
menembak	mbedhil
ayah	bapak
membagi	ngedom
jalan	mlampah
lelucon	guyon
semesta	kabehane
tindak	polah
ibu	simbok
pengasingan	pengasingan
panel	panel
habis	entek
kami	kami
alias	alias
menekankan	nekanke
pekerja	buruh
halilintar	gluduk
cari	golek
paranormal	dukun
menyempurnakan	nyempurnakke
mula	mulo
sebuah	sebuah
tebakan	bedekan
panen	panen
tadah	enggon
tangkap	tangkep
teratas	paling duwur
payudara	susu
punah	longko
niatnya	niate
mengaji	ngaji
benih	wenih
kacang	kacang
rebah	ambruk
komet	komet
ibarat	umpomo
zaman	moso
sugih	sugeh
segolongan	sak golongan
lelah	kesel
pipih	gepeng
fokus	fokus
kalimat	ukara
buntu	mampet
pusat	pancer
saudara	dulur
kejahatan	piawon
bermalam	nginep
dia	dek'e
beruntung	bejo
berisi	berisi
penerima	panrima
pemakaiannya	kanggonane
solo	solo
bercabang	nyabang
terjatuh	nibo
santan	santen
basi	lawas
menunjukkan	nduduhi
dihancurkan	di jurke
bumbunya	bumbune
paduka	paduko
sebelum	sakdereng
segaris	sak garis
biola	biola
bolanya	bale
melaju	ngelaju
menyerap	menyerep
kembali	mbalek
bahan	bahan
germo	germo
membayar	mbayar
malamnya	mbengine
kantung	sak
kekhawatiran	kuwatir
abi	romo
salah	salah
roman	asmara
tiap	mben
masukan	wejangan
umpama	umpomo
menyangkut	nyangkut
kadang	kadang
aksen	pangucapan
menunjang	nunjang
rawan	ringkih
kesenangan	kesenengan
suami	bojo
menghisap	nyedot
asosiasi	asosiasi
tenar	kondang
bentuknya	bentuke
anggota	anggota
lusa	sok mben
tergores	beset
mencarikan	nggolekke
pengetahuan	wawasan
sekop	serok
pokok	utomo
lauk	lawuh
ijin	ijin
memaksa	mekso
berusia	sepuh
siapapun	sapa wae
mutan	mutan
tumpah	wutah
keselamatan	kawilujengan
donat	donat
warni	werno
berkeluarga	mbojo
bangsa	bongso
memperdalam	jerokke
tertampung	ketampon
jaran	jaran
mengingat	ngeleng-eleng
manajemen	manajemen
lele	lembat
hulu	mentok
terasa	keroso
sayapnya	suwiwine
keinginannya	karepane
kedokteran	kedokteran
menjatuhkan	nibakke
taman	kebun
terdahulu	suwi
menyukai	nyenengi
cawan	lepek
tunas	toh
mendekam	ndekem
bayar	bayar
nafas	ambegan
terlibat	melu-melu
perasaan	prasaan
musibah	pacoban
tetangga	tonggo
warga	wargo
pendeta	 begawan
unsur	unsur
pembela	pembelo
gak	ora
tawar	towo
kencing	nguyuh
tanahnya	lemahe
orang	wong
nama	nami
gua	guo
asmara	asmoro
tenaga	daya
disapa	di sopo
melintasi	ngliwati
kakak	raka
buku	buku
muka	rupa
kanan	tengen
tersangkut	kesangkut
argumen	argumen
memperbanyak	ngokehi
matang	mateng
berpindah	ngalih
