indonesian,sundanese
aba-aba,komando
aba-aba,parã©ntah
aba-aba,tanda
abad,abad
abadi,langgeng
abadi,sainengna
abadi,salawasna
abai,antep
abai,teu paduli
abang,aa
abang,kaka
abang,lanceuk
abang,raka
abangnya,lanceukna
abangnya,rakana
abdi,kawula
abdu,abdi
abdu,kuring
abdu,satia
abdul,abdu
abi,sipatna
abi,watekna
abis,béak
abis,sã©ã©p
abjad,abjad
abses,bisul
abses,gambuh
absolut,gembleng
absolut,mutlak
absolut,nyata
abstrak,niskala
abu, calacah
abu,kebul
abu,kekebul
abu,lebu
abu-abu,abu-abu
abu-abu,hawuk
abu-abu,kulawu
acar,acar
acara,acara
acara,hajat
acara,hajatan
aceh,acã©h
aceh,ateul
aceh,ucah-acã©h
acuan,acuan
ada,aya
adab,adab
adakan,aya henteu
adakan,ngayakeun
adalah,ieu téh
adalah,nyaã©ta
adanya,ayana
adapula,aya ogã©
adapun,ayana
adat,adat
adat,budaya
adat,tetekon
adatnya,adatna
adatnya,kalakuanana
adatnya,paripolahna
adegan,adã©gan
adi,adi
adi,rai
adik,adi
adik,rai
adik,rayi
adiknya,adina
adiknya,raina
adil,adil
adipati,juragan agung
adipura,adipura
administrasi,administrasi
administratif,administratif
adonan,adonan
adu,pasã©ana sato
aduk,campur
aduk,galo
aduk,ngocek
advokasi,advokasi
advokat,advokat
afganistan,afganistan
afghanistan,afghanistan
afrika,afrika
agak,kosna
agak,rada
agama,agama
agama,agami
agama,ageman
agamanya,agamana
agamanya,agamina
agar,ambã©h
agar,ambéh
agar,jadina
agar,mã©h
agar,sangkan
agen,agã©n
agenda,acara
agenda,agã©nda
agensi,agã©nsi
agraria,agraria
agresi,narajang ti heula
agresif,sifatna narajang
agro,agro
agung,ageung
agung,luhung
agung,luhur
agus,bagus
agus,tubagus
agus,ujang
agustus,agustus
ah,ah
ahad,hiji
ahad,minggon
ahad,poã© ahad
ahli,juru
ahli,manukna
ahli,saã©hu
ahli,tukang
ahmad,ahmad
air,banyu
air,cai
air,ci
airku,cai abdi
airku,cai kuring
airku,ci kuring
airnya,caina
ajaib,anã©h
ajaib,gaib
ajaib,pikahã©raneun
ajaibnya,anã©hna
