menghancurkan	ngancurkeun
sekolah	sakola
kreatif	kereatip
surga	sawarga
singa	barong
saudara	dulur
dikemas	dibungkus
beras	beas
beratus	mangratus-ratus
mencampur	nyampur
wadah	wadah
badui	baduy
bbm	bbm
manusia	jalmi
sebutkan	sebatkeun
kopi	kopi
percakapan	ungang
kebiasaan	adat
radiologi	radiologi
keinginan	kahayang
jatah	bagean
airku	ci kuring
kucing	ucing
baiknya	alusna
rambutnya	buukna
grup	grup
bangku	korsi
pulang	balik
balet	balet
kaki	cokor
ayolah	hayu atuh
darat	darat
gerbang	gerbang
berdesakan	paseselek
peternakan	paternakan
layar	layar
mayor	mayor
ambulans	ambulan
almarhum	jenat
beralasan	nalar
maksudnya	maksadna
menggendong	ngagandong
keberanian	kawani
anti	musuhna
mencari	neangan
rusa	uncal
sepasang	sajodo
asing	asing
hiasan	aguk
berapa	sabaraha
hendak	erek
bebas	leupas
merayakan	ngarayap
berawal	ngawitan
semesta	marcapada
banting	banting
fiksi	wadul
indah	endah
perkumpulan	paguyuban
menyerupai	nyarupaan
berbukit	pasir
dapur	dapur
bengawan	walungan
objek	objek
perkiraan	taksiran
bahagia	bungah
senyum	seuri
mengakui	rumaos
kaki	dampal
amanat	pesenan
barisan	barisan
dibacakan	dibacakeun
berakhir	 anggeus
angkat	angkat
semuanya	sarerea
jasa	jasa
masjid	masjid
apresiasi	ajen
selamanya	salawasna
takdir	takdir
mengalir	ngalir
islam	islam
meninggal	pupus
sediakan	nyediakeun
fokus	junun
sekitarnya	sakurilingna
menggantikan	ngagentoskeun
puncak	poncot
tangan	panangan
telurnya	endogna
rapuh	rapuh
goresan	raca
bagus	hade
sakit	teu damang
hiburan	raramean
anggaran	anggaran
rapat	rapat
didahului	dipiheulaan
serikat	sarikat
tukang	tukang
diusahakan	ditarekahan
mencari	milarian
bekas	tapak
bendahara	bendahara
berbahan	lawonna
badai	badai
hukuman	hukuman
menguak	nembongkeun
vampir	vampir
mendengarnya	ngadangu eta
menyamai	nyaruakeun
didatangi	didatangan
diseduh	ditinyuh
bang	akang
harusnya	kuduna
hama	hama
keju	kiju
menuangkan	nyicikeun
akomodasi	akomodasi
gamelan	gamelan
tunjukkan	tembongkeun
semuanya	sadayana
beli	meuli
beradu	gelut
balasan	walonan
memori	kaemutan
undangan	ondangan
kuil	kuil
zat	jat
kenal	wawuh
kanan	katuhu
bangga	reueus
cuci	nyeuseuh
pekerja	pagawe
abdu	abdi
seragam	saragam
ambon	ambwan
membelokkan	melokeun
buatan	jieunan
pengawas	pangawas
senyum	gelenyu
bagus	sae
persimpangan	simpang
semua	sadaya
geng	geng
wabah	sasalad
bersurat	bersurat
menjual	ngajual
dokumentasi	dokumentasi
aneh	teu lumrah
generator	generator
bedah	belek
diterima	ditampi
mengambil	mawa
penganutnya	panganut
mengonsumsi	meakeun
hadis	hadis
beranjak	mangkat
siswa	murid
beratap	hatep
sawah	sawah
perasaan	rarasaan
dihidangkan	disuguhkeun
berakibat	gabalukarkeun
rindu	sono
bertahan	netep
halangan	harungan
gelombang	galura
pendukung	pangarojong
mengalihkan	ngalihkeun
erupsi	bitu
berdesakan	pasesedek
mengkritik	nyempad
menuai	metik
fakultas	fakultas
andam	paku
penjelasan	wawaran
hasrat	napsu
pengalaman	pangalaman
sebelumnya	sateuacanna
beragam	baragam
mengerti	ngartos
berbintang	berbintang
minyak	lisah
lebah	tawon
pesta	pesta
diuji	diuji
anggun	sugih mukti
studi	panalungtikan
berulang	kaulang
baiklah	muhun
salam	salam
telah	geus
izin	widi
konspirasi	konspirasi
kedaulatan	kedaulatan
informasi	wawaran
mesjid	masjid
kebutuhan	kabutuhan
pemimpin	pamingpin
bohong	wadul
bantuan	bantuan
abang	lanceuk
terdekat	pangdeuketna
amis	hanyir
bayu	wayu
kali	walungan
kabar	wartos
wafat	tilar dunya
pohon	tangkal
dijalankan	dijalankeun
api	seuneu
inisial	inisial
peraturan	aturan
kesana	kaditu 
cawan	mangkok
jarum	jarum
tahun	taun
kesulitan	kasulitan
berwarna	warnana
berbahaya	baya
dekatnya	di deukeutna
dua	dua
sandi	isarat
awasi	ditalingakeun
mandi	ibak
umpamanya	upamana
mencetak	nyitak
diatasi	ditungkulan
gempa	lini
huruf	hurup
drama	carita sandiwara
jasa	mangpaat
diundang	diondang
makan	tuang
arjuna	arjuna
petir	guluduk
menangkap	newak
baki	baki
mengarah	menerkeun
anggrek	anggrek
menolongnya	mantuan manehna
ditulisnya	ditulisna
balik	wangsul
menu	menu
kamu	salira
areal	wilayah
berdekatan	deukeut
mengelakkan	ngajauhan
mengarah	ngarahkeun
rantai	rante
dewa	sanghyang
diinginkan	dipikahayang
isolasi	nutup
